Microsite,Transect,NO3,NH4,K,P, Clay_Depth, NumTowers, Height
+,1,0.6,2.3,127.85,0.9,17.78,11,-0.1825
-,1,5.2,18.9,321.01,0.3,13.0175,5,-0.6825
+,2,0.9,1.6,105.09,0.2,12.7,4,-1.1825
-,2,0.9,2.6,130.13,0.3,10.16,8,-1.6825
+,3,3.8,3.1,146.78,0.3,20.0025,6,-0.6825
-,3,2.8,1.9,104.84,0.3,12.7,0,-1.1825
+,4,3.2,7.3,70.790000000000006,0.4,22.225,5,-0.6825
-,4,1.5,2.0,229.97,0.5,23.8125,0,-1.1825
+,5,1.0,2.8,99.1,0.3,13.6525,5,1.3175
-,5,1.7,2.3,142.52000000000001,0.9,8.5725,0,0.8175
+,6,0.7,4.0,103.23,1.6,4.445,1,-0.1825
-,6,4.0,3.9,45.19,0.6,15.24,5,0.3175
+,7,3.9,2.0,116.27,0.8,10.4775,8,-0.1825
-,7,1.4,1.5,85.92,1.2,24.765,0,-0.6825
+,8,8.9,4.5,83.52,0.7,18.415,6,-1.1825
-,8,2.5,1.3,110.49,0.3,24.765,0,-1.6825
+,9,0.5,1.7,58.96,0.5,10.795,10,2.3175
-,9,2.6,2.6,72.239999999999995,1.2,24.765,1,2.8175
+,10,0.0,1.3,129.53,1.1,5.08,12,-0.6825
-,10,1.0,1.4,67.45,1.1,17.78,8,-0.6825
+,11,2.8,6.1,79.14,0.5,20.32,6,-0.6825
-,11,1.4,2.2,89.75,0.6,19.3675,7,1.3175
-,11,0.0,4.4,53.86,1.1,18.415,6,-0.6825
-,11,0.7,5.3,138.58000000000001,0.9,15.875,8,-0.6825
-,11,0.0,12.2,110.25,0.8,24.765,8,-0.1825
+,12,0.0,14.0,111.88,0.8,12.7,0,1.3175
-,12,1.8,1.8,104.85,1.0,17.4625,0,0.8175
-,12,1.5,2.0,140.41999999999999,1.3,21.2725,0,1.3175
+,13,0.0,18.5,101.58,1.4,12.7,3,2.3175
-,13,0.9,3.3,70.75,0.2,8.89,0,1.3175
-,13,2.2,3.8,225.55,0.6,21.59,0,-0.1825
