Microsite,Transect,TN,P,K
+,1,1.55,0.14,0.67
-,1,1.07,0.086938,0.59
+,2,0.63,0.08,0.81
-,2,0.70,0.06,0.61
+,3,1.09,0.086758,0.52
-,3,0.81,0.09789,0.89
+,4,1.01,0.098717,0.60
-,4,0.52,0.10,0.63
+,5,1.08,0.077126,0.61
-,5,0.55,0.098468,0.90
+,6,1.08,0.076982,0.53
-,6,1.04,0.11,0.54
+,7,1.01,0.087042,0.64
-,7,1.03,0.075914,0.64
+,8,0.97,0.086374,0.59
-,8,0.94,0.075815,0.62
+,9,1.09,0.086711,0.53
-,9,0.98,0.076145,0.52
+,10,1.13,0.07617,0.54
-,10,0.80,0.076486,0.58
+,11,0.98,0.076561,0.57
-,11,1.01,0.076294,0.53
-,11,0.89,0.076679,0.49
-,11,1.12,0.075815,0.50
-,11,1.18,0.075889,0.55
+,12,0.68,0.07,0.42
-,12,0.73,0.10,0.45
+,13,0.74,0.065631,0.77
-,13,1.17,0.098511,0.48
