"Thomas J. Givnish and William Sparks, University of Wisconsin-Madison, Madison, WI",,,,,,,,,,,,,,,,,,,,,,,,
PRS(tm)-probe nutrient supply rates 2016 (in-situ burials).,,,,,,,,,,,,,,,,,,,,,,,,
"Shipment 4324, Received 2016-07-06, Tracking # 859903462474/859903462500",,,,,,,,,,,,,,,,,,,,,,,,
PRS(tm)-probe supply rate (micro grams/10cm2/burial length),,,,,,,,,,,,,,,,,,,,,,,,
WAL #,Sample ID,Burial Date,Retrieval Date,# Anion,# Cation,Notes,NO3-N,NH4-N,Ca,Mg,K,P,Fe,Mn,Cu,Zn,B,S,Pb,Al,Cd,,,
Method Detection Limits (mdl):,,,,,,,2,2,2,4,4,0.2,0.4,0.2,0.2,0.2,0.2,2,0.2,0.4,0.2,,,
152165,pp+1,2016-05-09,2016-06-25,3,3,,0.6,2.3,188.62,181.32,127.85,0.9,210.24,5.9,1.8,1.4,0.6,139.36000000000001,0.87,41.03,0.01,,,
152166,pp-1,2016-05-09,2016-06-25,2,2,One cation and one anion probe lost,5.2,18.9,365.76,281.05,321.01,0.3,198.11,15.7,6.9,4.2,0.5,46.59,0.91,36.81,0.00,,,
152167,pp+2,2016-05-09,2016-06-25,3,3,,0.9,1.6,416.78,155.59,105.09,0.2,91.47,6.9,1.8,1.6,0.1,100.69,0.61,30.42,0.00,,,
152168,pp-2,2016-05-09,2016-06-25,3,3,,0.9,2.6,277,192.08,130.13,0.3,57.66,7.1,1.1,2.1,0.2,130.49,0.49,30.87,0.00,,,
152169,pp+3,2016-05-09,2016-06-25,3,3,,3.8,3.1,182.51,175.08,146.78,0.3,135.1,5.4,1.2,1.4,0.1,67.989999999999995,0.68,25.52,0.00,,,
152170,pp-3,2016-05-09,2016-06-25,3,3,,2.8,1.9,202.02,129.83000000000001,104.84,0.3,8.76,1.9,1.2,0.7,0.0,28.67,0.35,37.119999999999997,0.00,,,
152171,pp+4,2016-05-09,2016-06-25,3,3,,3.2,7.3,96.2,69.28,70.790000000000006,0.4,14.53,2.0,2.9,0.9,0.0,76.34,0.47,22.55,0.01,,,
152172,pp-4,2016-05-09,2016-06-25,3,3,,1.5,2.0,322.87,137.62,229.97,0.5,6.73,4.5,1.5,0.9,0.0,48.98,0.27,20.95,0.00,,,
152173,pp+5,2016-05-09,2016-06-25,3,3,,1.0,2.8,116.31,102.77,99.1,0.3,26.98,1.4,1.4,0.9,0.1,96.81,0.35,20.82,0.00,,,
152174,pp-5,2016-05-09,2016-06-25,3,3,,1.7,2.3,190.03,96.71,142.52000000000001,0.9,6.82,2.1,1.9,0.6,0.1,45.86,0.52,37.090000000000003,0.02,,,
152175,pp+6,2016-05-09,2016-06-25,3,3,,0.7,4.0,223.2,163.33000000000001,103.23,1.6,119.87,6.7,4.3,1.3,0.1,69.86,0.56999999999999995,20.85,0.00,,,
152176,pp-6,2016-05-09,2016-06-25,3,3,,4.0,3.9,285.42,241.99,45.19,0.6,61.2,4.8,3.4,1.1,0.0,145.82,1.03,36.81,0.34,,,
