,Gaylussacia mosieri,Ctenium aromaticum,Sarracenia alata,Rhynchospora ssp.,Andropogon mohrii,Balduina uniflora,Melanthiaceae,Helianthus heterophyllus,Ilex ssp.,Lycopodiella appressa,Platanthera ciliaris ,Coreopsis linifolia, Rhynchospora oliganthus OR galeana,Panicum ssp.,Rhexia alifanus,Eriocaulon decangulare,Polygala sp.,Trilisa paniculata,Aristida beyrichiana,Scleria ssp.,Morella inodora,Rhynchospora colorata,Pinus palustris,Drosera tracyi,Andropogon sp.,Smilax laurifolia,Lycopodiella alopecuroides OR prostrata
1.1,0,0,2,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0,0,0,6,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,2,4,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2.2,0,0,0,4,0,1,2,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,0,0,0,4,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.4,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.2,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
3.3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.4,0,0,3,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
4.1,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0
4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
4.4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
