,Sarracenia alata,Melanthiaceae,Rhynchospora ssp.,Scleria ssp.,Ilex ssp.,Balduina uniflora,Andropogon mohrii,Panicum ssp.,Pinus palustris,Hypericum section Myrianda,Platanthera ciliaris,Polygala sp.,Helianthus heterophyllus,Gaylussacia mosieri,Eriocaulon decangulare,Rhexia alifanus,Rhynchospora microcarpa,Rhynchospora oliganthus OR galeana, Aristida beyrichiana,Ctenium aromaticum,Andropogon sp.
1.1,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,1,5,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,3,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2,0,1,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2
4.1,2,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5.1,3,3,4,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1
5.2,0,0,6,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
6.1,0,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.2,0,3,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.1,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
7.2,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8.1,3,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.2,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9.1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
10.1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10.2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,2
11.1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11.2,0,3,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11.3,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11.4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11.5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
12.1,1,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,5,0,0,0
12.2,0,0,4,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,5
12.3,0,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
13.1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
13.2,0,0,3,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,5,0,1
13.3,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
